#
# This file contains a list of rules for associating accounts and more
# useful descriptions with downloaded check/credit card statements.  
# Rule lines have four comma-separated fields:
#
#   col1:   wild card expression (filename style, best to quote)
#   col2:   associated account name (a single token)
#   col3:   new description (quote if it contains blanks or special characters)
#   col4:   processing verb
#       AGGREGATE   accumulate all of these into a per account/descr subtotal
#       PRESERVE    retain the original description
#       REPLACE     replace statement description with this description
#       COMBINE     use this description followed by the original description
*		    (and return tentative)
#
"SAN*BER*TAX*",         Basic, "SBDO Prop Taxes", REPLACE
"LA Co TTC Paymnt*", Basic, "LA Prop Taxes", REPLACE
"Online Payment * To State Farm*", Basic, "home insurance", REPLACE

"THE GAS COMPANY*",     Utilities, "gas", REPLACE
"LADWP*",         Utilities, "DWP", REPLACE
"ATT*",             Utilities, "phone", REPLACE
"TIME WARNER*",  Utilities, "cable", REPLACE

"*ORCHARD SUPPLY*", Household, "misc AGGREGATE
"*HOME DEPOT*",     Household, "misc", AGGREGATE
"LOWES *",       Household, "misc", AGGREGATE
"ARMSTRONG*",    Household, "plants", AGGREGATE
"WWW.RSABG.ORG*", Household, "plants", AGGREGATE
"J&P*PARKSEED*", Household, "plants", AGGREGATE

"gas", Transportation, "gas", AGGREGATE
"SHELL OIL*",    Transportation, "gas", AGGREGATE
"CHEVRON CC*",   Transportation, "gas", AGGREGATE
"COSTCO GAS*",   Transportation, "gas", AGGREGATE
"USA *",Transportation, "gas", AGGREGATE
"76 *", Transportation, "gas", AGGREGATE
"ARCO PAYPOINT**", Transportation, "gas", AGGREGATE
"PEPES TIRE SHOP*", Transportation, "tires", REPLACE
"*GEICO*", Transportation, "m/c insurance", REPLACE
"ST OF CA DMV*", Transportation, "registration", COMBINE
"MERCURY CASUALTY*", Transportation, "car insurance", REPLACE
"Online Payment * To Auto Club*", Transportation, "AAA membership", REPLACE
"Online Payment * To Mercury Insurance*", Transportation, "car insurance", REPLACE

"parking", Transportation, "parking", AGGREGATE
"LAX AIRPORT LOT*", Transportation, "parking", AGGREGATE
"BOB HOPE AIRPORT*", Transportation, "parking", AGGREGATE
"AMPCO PARKING*", Transportation, "parking", AGGREGATE
